3,4,8,500,6,1150,44595,60.343,7.1191,4.8998,15.565,22.878,1.8799,189.09,59.477,83.117,209.62,6.25,6.1714,26.923,26.305,50.801,700.97,2.1284,123.53,9218.5,234.7,0.9815
1,2,9,400,5.5,1200,46910,65.32,9.3263,4.9888,16.624,24.501,1.8799,215.6,70.188,98.916,203.08,5.75,6.7449,33.134,31.305,53.035,682.16,2.0654,120.81,8440.2,240.54,0.83447
1,3,9,400,5.75,1200,45599,62.735,8.0882,5.0536,16.065,23.648,1.8799,201.48,64.478,90.502,203.08,6,6.4454,29.837,28.642,51.751,693.91,2.1026,124.4,8642.1,237.45,0.82739
1,4,9,400,6,1200,44033,60.572,7.1191,5.1296,15.565,22.878,1.8799,189.09,59.477,83.117,203.08,6.25,6.1714,26.923,26.305,50.336,701.98,2.1283,127.55,8804.4,233.94,0.82067
2,2,9,450,5.5,1200,47165,65.209,9.3263,4.8777,16.624,24.501,1.8799,215.6,70.188,98.916,206.61,5.75,6.7449,33.134,31.305,53.155,684.86,2.074,121.77,8486.8,246.02,0.91682
2,3,9,450,5.75,1200,45843,62.61,8.0882,4.929,16.065,23.648,1.8799,201.48,64.478,90.502,206.61,6,6.4454,29.837,28.642,51.863,696.75,2.1115,125.43,8691.6,243.46,0.90905
2,4,9,450,6,1200,44263,60.433,7.1191,4.9904,15.565,22.878,1.8799,189.09,59.477,83.117,206.61,6.25,6.1714,26.923,26.305,50.438,704.92,2.1376,128.66,8856.5,240.46,0.90166
3,2,9,500,5.5,1200,47371,65.135,9.3263,4.8045,16.624,24.501,1.8799,215.6,70.188,98.916,209.62,5.75,6.7449,33.134,31.305,53.253,686.98,2.0806,122.56,8523.8,249.77,0.998
3,3,9,500,5.75,1200,46038,62.529,8.0882,4.8474,16.065,23.648,1.8799,201.48,64.478,90.502,209.62,6,6.4454,29.837,28.642,51.954,698.94,2.1185,126.27,8730.8,247.56,0.98954
3,4,9,500,6,1200,44447,60.343,7.1191,4.8998,15.565,22.878,1.8799,189.09,59.477,83.117,209.62,6.25,6.1714,26.923,26.305,50.521,707.18,2.1448,129.54,8897.7,244.91,0.9815
